TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,POSTSEASON_WINS
Seton Hall,BE,33,21,108.9,95.6,0.8178,49.9,49.0,19.5,17.5,35.7,25.4,37.6,36.1,49.6,48.0,33.8,34.1,68.9,2.7,R64,9,2017,0
Creighton,BE,32,21,116.2,97.4,0.8836,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,58.7,50.0,37.2,33.6,72.3,2.0,R64,8,2018,0
Providence,BE,35,21,108.4,95.9,0.8027,49.6,50.3,17.4,19.0,28.9,29.0,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1.9,R64,10,2018,0
Marquette,BE,34,24,111.7,95.9,0.8524,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,50.0,45.1,38.8,32.4,70.5,2.7,R64,5,2019,0
Seton Hall,BE,34,20,107.9,96.9,0.7749,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,50.6,48.7,32.4,34.0,70.4,-0.4,R64,10,2019,0
Eastern Washington,BSky,32,23,110.1,107.6,0.5648,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36.0,52.2,49.2,39.3,38.7,68.5,-2.6,R64,13,2015,0
Weber St.,BSky,32,23,101.7,99.5,0.5599,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,-3.7,R64,15,2016,0
North Dakota,BSky,29,22,103.1,102.7,0.5112,53.4,50.7,18.3,19.6,26.0,27.8,36.1,39.7,51.4,50.0,38.7,34.8,72.5,-5.3,R64,15,2017,0
Montana,BSky,32,26,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,-1.1,R64,14,2018,0
Montana,BSky,33,26,106.2,103.2,0.5812,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,68.0,-3.2,R64,15,2019,0
Coastal Carolina,BSth,30,20,104.5,103.0,0.5417,50.0,47.7,17.5,16.9,34.8,28.0,38.9,35.0,48.1,45.8,35.9,33.8,64.1,-5.1,R64,16,2015,0
UNC Asheville,BSth,32,20,101.2,99.4,0.5487,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33.0,50.2,52.1,32.1,29.6,71.0,-6.3,R64,15,2016,0
Winthrop,BSth,31,26,105.3,101.3,0.6106,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,72.3,-1.8,R64,13,2017,0
Radford,BSth,34,23,101.3,102.8,0.4559,49.3,50.1,18.7,20.2,32.0,28.0,31.2,31.7,47.1,48.9,35.0,34.6,64.2,-6.5,R64,16,2018,0
Gardner Webb,BSth,32,23,106.0,106.6,0.4852,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,53.6,50.4,37.7,33.7,68.7,-5.0,R64,16,2019,0
UC Irvine,BW,32,19,105.1,96.8,0.7202,50.7,44.7,18.2,17.2,30.0,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.9,-4.6,R64,13,2015,0
UC Davis,BW,34,23,97.4,100.8,0.4033,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,46.9,48.5,34.5,32.6,70.3,-7.5,R64,16,2017,0
Cal St. Fullerton,BW,30,20,101.6,102.5,0.476,51.6,48.2,20.7,18.2,26.0,28.9,45.6,35.2,52.0,45.0,33.8,36.4,70.7,-5.5,R64,15,2018,0
Northeastern,CAA,35,23,107.0,101.0,0.6586,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25.0,53.0,49.1,38.6,34.4,63.6,-4.6,R64,14,2015,0
UNC Wilmington,CAA,31,23,109.5,100.9,0.7186,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51.0,46.1,34.4,33.9,71.3,-0.7,R64,13,2016,0
UNC Wilmington,CAA,33,29,117.7,105.0,0.7881,55.0,53.2,13.9,20.1,32.5,28.5,30.8,39.6,55.7,54.2,36.1,34.0,71.5,1.5,R64,12,2017,0
College of Charleston,CAA,32,26,106.8,104.3,0.5685,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52.0,48.7,35.9,34.6,66.0,-2.1,R64,13,2018,0
Northeastern,CAA,34,23,109.1,102.5,0.6712,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53.0,38.2,33.7,67.5,-2.8,R64,13,2019,0
Old Dominion,CUSA,35,26,99.3,94.6,0.6339,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,44.1,43.5,34.9,32.4,65.9,-1.8,R64,14,2019,0
Valparaiso,Horz,31,25,105.0,94.5,0.7706,51.3,45.2,19.0,18.6,34.7,27.4,36.6,33.4,48.0,42.3,38.4,33.4,63.1,0.1,R64,13,2015,0
Green Bay,Horz,34,21,106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32.0,42.2,35.8,48.5,50.0,35.0,36.3,77.3,-4.5,R64,14,2016,0
Northern Kentucky,Horz,33,24,105.5,104.1,0.537,52.4,49.7,18.8,17.0,31.2,26.4,36.5,30.5,51.6,50.2,35.7,32.4,69.3,-4.9,R64,15,2017,0
Wright St.,Horz,33,25,99.4,97.2,0.5638,48.6,48.3,18.6,21.0,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,69.3,-3.5,R64,14,2018,0
Northern Kentucky,Horz,33,26,107.8,101.3,0.6719,54.6,49.1,17.8,18.4,30.6,26.0,34.8,35.2,55.0,49.9,36.0,32.0,69.3,-2.2,R64,14,2019,0
Harvard,Ivy,28,20,102.4,94.9,0.7057,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34.0,61.6,-1.3,R64,13,2015,0
Princeton,Ivy,29,23,107.6,95.4,0.7989,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32.0,50.5,46.9,37.6,34.5,64.2,-0.4,R64,12,2017,0
Penn,Ivy,32,24,103.6,97.6,0.6644,52.9,47.0,16.6,17.0,23.8,22.6,33.4,31.8,53.3,48.0,34.8,30.0,70.1,-3.3,R64,16,2018,0
Yale,Ivy,29,22,110.5,102.5,0.7034,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,56.0,47.8,36.5,31.0,72.2,-0.9,R64,14,2019,0
Iona,MAAC,33,22,109.1,102.1,0.6822,53.8,48.8,17.6,19.2,29.2,31.0,32.4,36.3,52.5,46.0,37.0,35.8,72.6,-3.6,R64,13,2016,0
Iona,MAAC,35,22,109.3,106.0,0.5879,53.4,50.0,16.5,18.0,27.0,32.1,31.0,33.4,49.3,47.7,39.7,36.1,71.7,-5.8,R64,14,2017,0
Iona,MAAC,34,20,108.8,107.6,0.5333,53.9,52.5,16.0,18.8,24.5,30.8,30.2,28.6,51.5,51.7,38.3,35.8,71.5,-7.3,R64,15,2018,0
Iona,MAAC,33,17,105.2,108.8,0.4044,53.0,52.3,17.3,18.5,25.1,30.7,36.8,28.5,53.2,50.3,35.1,36.6,71.9,-10.4,R64,16,2019,0
Buffalo,MAC,33,23,109.1,98.0,0.7742,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48.0,34.1,33.0,68.9,-1.3,R64,12,2015,0
